Time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature
0.0,30,0,0.125,0.125,10,14.0,40,180.0
0.125,30,0,0.125,0.125,10,13.825,40,178.25
0.25,30,0,0.125,0.125,10,13.6521875,40,176.521875
0.375,30,0,0.125,0.125,10,13.481535156249999,40,174.81535156249998
0.5,30,0,0.125,0.125,10,13.313015966796874,40,173.13015966796874
0.625,30,0,0.125,0.125,10,13.146603267211912,40,171.46603267211913
0.75,30,0,0.125,0.125,10,12.982270726371762,40,169.82270726371763
0.875,30,0,0.125,0.125,10,12.819992342292116,40,168.19992342292116
1.0,30,0,0.125,0.125,10,12.659742438013463,40,166.59742438013464
1.125,30,0,0.125,0.125,10,12.501495657538296,40,165.01495657538297
1.25,30,0,0.125,0.125,10,12.345226961819069,40,163.45226961819068
1.375,30,0,0.125,0.125,10,12.190911624796332,40,161.9091162479633
1.5,30,0,0.125,0.125,10,12.038525229486376,40,160.38525229486376
1.625,30,0,0.125,0.125,10,11.888043664117797,40,158.88043664117797
1.75,30,0,0.125,0.125,10,11.739443118316325,40,157.39443118316325
1.875,30,0,0.125,0.125,10,11.592700079337371,40,155.9270007933737
2.0,30,0,0.125,0.125,10,11.447791328345653,40,154.47791328345653
2.125,30,0,0.125,0.125,10,11.304693936741334,40,153.04693936741333
2.25,30,0,0.125,0.125,10,11.163385262532065,40,151.63385262532066
2.375,30,0,0.125,0.125,10,11.023842946750415,40,150.23842946750415
2.5,30,0,0.125,0.125,10,10.886044909916034,40,148.86044909916035
2.625,30,0,0.125,0.125,10,10.749969348542084,40,147.49969348542083
2.75,30,0,0.125,0.125,10,10.61559473168531,40,146.1559473168531
2.875,30,0,0.125,0.125,10,10.482899797539242,40,144.8289979753924
3.0,30,0,0.125,0.125,10,10.351863550070002,40,143.51863550070001
3.125,30,0,0.125,0.125,10,10.222465255694127,40,142.22465255694127
3.25,30,0,0.125,0.125,10,10.094684439997952,40,140.9468443999795
3.375,30,0,0.125,0.125,10,9.968500884497976,40,139.68500884497976
3.5,30,0,0.125,0.125,10,9.843894623441752,40,138.43894623441753
3.625,30,0,0.125,0.125,10,9.720845940648733,40,137.20845940648732
3.75,30,0,0.125,0.125,10,9.599335366390623,40,135.99335366390622
3.875,30,0,0.125,0.125,10,9.479343674310737,40,134.79343674310738
4.0,30,0,0.125,0.125,10,9.360851878381855,40,133.60851878381854
4.125,30,0,0.125,0.125,10,9.24384122990208,40,132.4384122990208
4.25,30,0,0.125,0.125,10,9.128293214528304,40,131.28293214528304
4.375,30,0,0.125,0.125,10,9.0141895493467,40,130.141895493467
4.5,30,0,0.125,0.125,10,8.901512179979866,40,129.01512179979866
4.625,30,0,0.125,0.125,10,8.790243277730118,40,127.90243277730119
4.75,30,0,0.125,0.125,10,8.680365236758492,40,126.80365236758492
